	Dir_30g		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
10.742188	-29.53	90.74	0.56
11.718750	-29.15	-173.40	0.47
12.695313	-25.41	99.70	0.45
13.671875	-26.62	-73.24	0.26
14.648438	-23.53	-38.81	0.77
15.625000	-27.27	100.74	0.12
16.601563	-24.76	-114.69	0.51
17.578125	-24.16	177.90	0.77
18.554688	-26.77	-159.11	0.83
19.531250	-27.81	-53.18	0.36
20.507813	-27.16	-167.51	0.81
21.484375	-24.32	86.08	0.70
22.460938	-23.43	-166.87	0.29
23.437500	-26.73	-107.03	0.61
24.414063	-25.55	-147.48	0.46
25.390625	-25.42	-125.48	0.75
26.367188	-25.10	-151.09	0.57
27.343750	-26.48	175.50	0.12
28.320313	-29.18	167.42	0.65
29.296875	-30.33	-162.95	0.56
30.273438	-29.93	-165.80	0.65
31.250000	-30.53	175.23	0.87
32.226563	-29.65	176.70	0.95
33.203125	-28.44	169.47	0.95
34.179688	-27.93	-175.66	0.94
35.156250	-27.58	-173.52	0.88
36.132813	-27.68	-176.03	0.87
37.109375	-27.93	171.18	0.87
38.085938	-27.72	177.15	0.92
39.062500	-26.72	178.98	0.90
40.039063	-24.86	-178.26	0.58
41.015625	-24.37	-168.79	0.82
41.992188	-25.00	175.50	0.72
42.968750	-25.43	171.31	0.85
43.945313	-25.38	174.82	0.98
44.921875	-25.38	-178.14	0.99
45.898438	-25.50	-178.47	0.97
46.875000	-25.01	-178.21	0.96
47.851563	-24.55	-176.14	0.97
48.828125	-24.21	177.79	0.99
49.804688	-23.63	179.47	1.00
50.781250	-22.94	-177.49	0.98
51.757813	-22.16	-177.30	0.95
52.734375	-21.53	-176.14	0.97
53.710938	-21.58	179.29	0.97
54.687500	-21.66	176.77	0.96
55.664063	-21.84	172.06	0.96
56.640625	-21.68	170.91	0.95
57.617188	-21.45	172.01	0.98
58.593750	-21.28	170.28	0.97
59.570313	-21.12	166.99	0.94
60.546875	-20.88	164.88	0.96
61.523438	-20.60	164.68	0.97
62.500000	-20.21	164.61	0.98
63.476563	-19.50	164.67	0.98
64.453125	-18.66	165.10	0.97
65.429688	-17.92	165.22	0.92
66.406250	-17.23	161.66	0.92
67.382813	-16.93	158.01	0.95
68.359375	-16.77	155.55	0.94
69.335938	-16.57	155.24	0.98
70.312500	-16.44	154.60	0.99
71.289063	-16.31	153.61	1.00
72.265625	-16.08	152.36	0.98
73.242188	-15.83	150.59	0.97
74.218750	-15.69	147.93	0.99
75.195313	-15.63	146.21	1.00
76.171875	-15.58	144.95	1.00
77.148438	-15.56	143.40	0.98
78.125000	-15.56	142.41	0.90
79.101563	-15.61	142.08	0.96
