	Dir_60g		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
10.742188	-34.80	11.38	0.53
11.718750	-34.42	171.50	0.25
12.695313	-35.91	135.71	0.47
13.671875	-41.59	138.42	0.23
14.648438	-38.34	-115.11	0.77
15.625000	-38.99	-122.91	0.84
16.601563	-37.91	105.29	0.29
17.578125	-35.33	111.94	0.13
18.554688	-34.71	-112.12	0.76
19.531250	-36.73	-163.55	0.79
20.507813	-35.95	165.19	0.75
21.484375	-33.58	-169.11	0.93
22.460938	-34.13	-172.47	0.70
23.437500	-32.91	174.58	0.13
24.414063	-31.82	-167.10	0.10
25.390625	-32.33	-166.41	0.32
26.367188	-30.66	-157.22	0.78
27.343750	-30.57	-167.70	0.93
28.320313	-30.22	175.95	0.82
29.296875	-29.84	171.40	0.74
30.273438	-30.90	175.63	0.85
31.250000	-30.57	177.93	0.93
32.226563	-29.93	-174.76	0.97
33.203125	-30.16	-175.65	0.97
34.179688	-29.86	-178.98	0.93
35.156250	-29.34	-166.50	0.83
36.132813	-28.44	-151.96	0.68
37.109375	-28.70	-163.30	0.48
38.085938	-28.75	-166.19	0.54
39.062500	-28.72	-171.82	0.53
40.039063	-28.74	-170.71	0.88
41.015625	-28.79	-172.65	0.99
41.992188	-28.49	-174.09	0.99
42.968750	-27.88	-175.35	0.99
43.945313	-27.50	-177.77	0.97
44.921875	-26.94	-178.54	0.97
45.898438	-26.37	-178.72	0.89
46.875000	-25.76	178.43	0.97
47.851563	-25.40	177.26	1.00
48.828125	-25.14	176.69	1.00
49.804688	-24.79	175.65	1.00
50.781250	-24.30	174.42	0.99
51.757813	-23.85	172.85	0.99
52.734375	-23.52	172.21	1.00
53.710938	-23.23	171.71	1.00
54.687500	-22.97	171.89	1.00
55.664063	-22.73	172.43	0.99
56.640625	-22.29	172.38	0.99
57.617188	-21.94	171.27	1.00
58.593750	-21.62	169.52	0.99
59.570313	-21.30	168.41	0.99
60.546875	-20.95	167.82	0.94
61.523438	-20.45	168.08	0.98
62.500000	-20.03	167.93	0.99
63.476563	-19.59	167.70	0.99
64.453125	-19.19	166.51	1.00
65.429688	-18.81	166.15	0.98
66.406250	-18.45	165.33	0.99
67.382813	-18.05	164.06	0.99
68.359375	-17.56	162.49	0.99
69.335938	-17.07	161.34	0.98
70.312500	-16.65	160.03	1.00
