	Dir_0g		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
10.742188	-39.99	22.79	0.01
11.718750	-34.25	-115.66	0.67
12.695313	-34.66	-151.66	0.74
13.671875	-33.43	-155.15	0.73
14.648438	-39.51	-123.75	0.71
15.625000	-36.61	140.33	0.71
16.601563	-35.09	-37.42	0.43
17.578125	-32.92	-4.54	0.55
18.554688	-32.40	-89.26	0.62
19.531250	-35.99	-114.43	0.51
20.507813	-38.40	-164.99	0.94
21.484375	-37.90	-171.19	0.95
22.460938	-34.38	177.89	0.85
23.437500	-30.67	165.44	0.60
24.414063	-30.65	130.75	0.57
25.390625	-32.85	166.81	0.64
26.367188	-32.63	-158.61	0.66
27.343750	-31.94	-162.38	0.94
28.320313	-30.21	-173.74	0.91
29.296875	-28.61	178.14	0.89
30.273438	-28.70	-176.35	0.97
31.250000	-28.92	-173.54	0.96
32.226563	-29.31	-171.24	0.99
33.203125	-29.15	-174.53	0.98
34.179688	-28.79	-177.71	0.98
35.156250	-29.16	172.78	0.93
36.132813	-29.48	166.19	0.92
37.109375	-29.70	167.35	0.93
38.085938	-29.65	168.15	0.68
39.062500	-28.89	175.47	0.83
40.039063	-28.18	179.29	0.96
41.015625	-27.73	178.26	0.98
41.992188	-27.39	178.71	0.99
42.968750	-26.93	178.65	1.00
43.945313	-26.35	177.69	0.99
44.921875	-25.77	177.81	0.99
45.898438	-25.31	178.08	0.97
46.875000	-24.96	176.44	0.99
47.851563	-24.58	175.36	1.00
48.828125	-24.18	174.53	1.00
49.804688	-23.77	173.60	1.00
50.781250	-23.25	172.38	1.00
51.757813	-22.77	171.21	0.99
52.734375	-22.38	171.17	0.99
53.710938	-21.96	170.78	0.99
54.687500	-21.65	170.71	0.99
55.664063	-21.40	170.88	0.99
56.640625	-21.08	170.37	0.99
57.617188	-20.81	170.32	1.00
58.593750	-20.49	169.76	0.99
59.570313	-20.24	169.26	1.00
60.546875	-19.98	168.84	0.98
61.523438	-19.60	168.89	0.99
62.500000	-19.23	168.67	0.99
63.476563	-18.85	167.73	0.99
64.453125	-18.41	166.39	1.00
65.429688	-17.99	165.36	0.97
66.406250	-17.60	164.28	0.99
67.382813	-17.18	162.58	0.99
68.359375	-16.73	160.99	0.99
69.335938	-16.32	160.12	0.99
70.312500	-15.94	158.99	1.00
71.289063	-15.64	157.05	0.99
72.265625	-15.40	154.77	1.00
73.242188	-15.19	152.33	0.99
74.218750	-15.05	149.72	0.99
75.195313	-14.99	147.45	1.00
76.171875	-15.02	145.79	0.99
77.148438	-15.09	144.15	0.99
78.125000	-15.20	142.91	0.99
79.101563	-15.30	142.46	0.99
80.078125	-15.37	142.22	1.00
81.054688	-15.43	142.09	0.99
82.031250	-15.47	141.89	1.00
83.007813	-15.50	142.06	1.00
83.984375	-15.46	142.57	1.00
84.960938	-15.42	143.14	0.99
85.937500	-15.36	143.74	1.00
86.914063	-15.27	144.14	0.99
87.890625	-15.11	144.46	0.99
88.867188	-14.88	144.62	1.00
89.843750	-14.63	144.35	0.98
90.820313	-14.36	143.75	0.99
91.796875	-14.14	143.04	0.99
92.773438	-13.95	142.19	0.99
93.750000	-13.83	141.51	0.99
94.726563	-13.77	140.75	0.97
95.703125	-13.75	140.60	0.99
96.679688	-13.70	140.88	1.00
97.656250	-13.59	141.33	0.99
98.632813	-13.41	141.83	0.99
99.609375	-13.20	142.35	1.00
100.585938	-12.95	142.86	0.99
101.562500	-12.67	143.20	0.99
102.539063	-12.38	143.25	0.99
103.515625	-12.05	143.37	0.99
104.492188	-11.70	143.10	0.99
105.468750	-11.38	142.19	0.99
106.445313	-11.08	140.89	0.98
107.421875	-10.87	139.38	1.00
108.398438	-10.72	137.85	0.99
109.375000	-10.63	136.26	0.99
110.351563	-10.57	134.91	1.00
111.328125	-10.51	133.90	1.00
112.304688	-10.45	133.18	1.00
113.281250	-10.40	132.71	1.00
114.257813	-10.35	132.40	1.00
