	Dir_90g		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
10.742188	-33.77	-152.49	0.82
11.718750	-38.08	119.44	0.28
12.695313	-38.03	38.79	0.40
13.671875	-36.20	139.93	0.17
14.648438	-33.08	-52.32	0.57
15.625000	-34.58	22.05	0.25
16.601563	-33.46	-72.09	0.38
17.578125	-39.70	-88.92	0.54
18.554688	-36.55	-62.00	0.22
19.531250	-31.36	65.10	0.48
20.507813	-34.91	148.03	0.49
21.484375	-34.79	-155.98	0.62
22.460938	-30.16	-121.73	0.65
23.437500	-29.96	-146.52	0.38
24.414063	-30.14	-141.81	0.40
25.390625	-30.34	-138.99	0.51
26.367188	-32.59	-158.78	0.70
27.343750	-32.89	-157.93	0.92
28.320313	-33.30	-164.20	0.94
29.296875	-33.56	-173.05	0.78
30.273438	-32.80	-171.16	0.87
31.250000	-31.84	-170.51	0.79
32.226563	-31.00	-173.35	0.91
33.203125	-31.12	179.57	0.96
34.179688	-30.71	170.12	0.95
35.156250	-30.90	168.25	0.88
36.132813	-31.09	169.17	0.79
37.109375	-31.21	166.34	0.90
38.085938	-31.19	173.24	0.78
39.062500	-30.89	-177.69	0.74
40.039063	-30.67	-176.90	0.93
41.015625	-30.63	179.01	0.77
41.992188	-30.25	178.37	0.93
42.968750	-29.64	179.97	0.94
43.945313	-28.85	179.27	0.88
44.921875	-27.99	178.34	0.96
45.898438	-27.30	176.01	0.99
46.875000	-26.72	173.20	1.00
47.851563	-26.16	170.50	0.98
48.828125	-25.79	169.16	0.99
49.804688	-25.60	168.60	0.99
50.781250	-25.41	167.95	0.98
51.757813	-24.95	168.17	0.92
52.734375	-24.73	167.78	0.98
53.710938	-24.44	166.89	0.99
54.687500	-24.19	166.28	0.99
55.664063	-23.92	165.33	0.98
56.640625	-23.51	166.22	0.98
57.617188	-23.19	167.11	0.97
58.593750	-22.81	166.41	0.99
59.570313	-22.43	165.52	0.99
60.546875	-22.09	164.67	0.97
61.523438	-21.88	163.71	0.98
62.500000	-21.67	163.04	0.99
