	Dir_75g		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
10.742188	-38.81	-143.35	0.35
11.718750	-27.79	23.39	0.45
12.695313	-28.50	95.62	0.42
13.671875	-39.40	134.59	0.16
14.648438	-40.50	-145.88	0.58
15.625000	-41.19	-115.27	0.73
16.601563	-35.65	-77.66	0.12
17.578125	-32.17	0.90	0.54
18.554688	-33.62	-96.52	0.75
19.531250	-31.69	-129.28	0.92
20.507813	-34.46	-141.96	0.89
21.484375	-34.57	-170.32	0.91
22.460938	-33.44	-178.70	0.69
23.437500	-29.03	-161.19	0.38
24.414063	-29.61	25.61	0.49
25.390625	-32.50	90.11	0.36
26.367188	-32.63	-159.00	0.77
27.343750	-32.36	-167.14	0.93
28.320313	-30.73	-175.90	0.94
29.296875	-30.76	164.83	0.76
30.273438	-31.54	175.06	0.86
31.250000	-31.93	-178.49	0.87
32.226563	-31.47	-170.69	0.99
33.203125	-30.66	-170.58	0.99
34.179688	-30.00	-172.50	0.97
35.156250	-29.40	-178.66	0.94
36.132813	-29.40	-174.42	0.88
37.109375	-29.92	179.42	0.87
38.085938	-29.61	171.35	0.79
39.062500	-29.49	172.87	0.90
40.039063	-29.19	177.16	0.98
41.015625	-28.80	179.59	1.00
41.992188	-28.41	-179.34	0.99
42.968750	-27.92	-178.80	1.00
43.945313	-27.53	-179.36	0.99
44.921875	-26.95	179.82	0.99
45.898438	-26.40	178.09	0.93
46.875000	-26.00	174.00	0.98
47.851563	-25.68	172.67	0.98
48.828125	-25.44	173.52	0.98
49.804688	-25.09	173.00	0.99
50.781250	-24.62	172.02	0.99
51.757813	-24.17	170.27	0.99
52.734375	-23.80	169.70	0.99
53.710938	-23.42	168.67	0.99
54.687500	-23.14	167.92	0.99
55.664063	-22.92	167.53	0.98
56.640625	-22.55	167.57	1.00
57.617188	-22.25	167.28	0.99
58.593750	-21.87	166.56	0.99
59.570313	-21.58	166.04	1.00
60.546875	-21.33	165.73	0.97
61.523438	-21.00	166.03	0.98
62.500000	-20.64	166.13	1.00
63.476563	-20.22	165.89	0.99
64.453125	-19.71	165.42	0.99
65.429688	-19.20	164.93	0.97
66.406250	-18.75	164.10	0.97
67.382813	-18.27	161.89	0.97
68.359375	-17.78	160.10	0.98
69.335938	-17.32	158.91	0.98
70.312500	-16.92	157.76	1.00
71.289063	-16.62	155.37	0.99
72.265625	-16.39	152.77	1.00
73.242188	-16.19	150.32	0.99
74.218750	-16.05	147.87	0.99
75.195313	-15.96	145.80	1.00
76.171875	-15.91	144.01	0.99
77.148438	-15.89	142.24	0.98
78.125000	-15.98	140.08	0.98
79.101563	-16.18	138.88	0.99
80.078125	-16.33	138.36	1.00
81.054688	-16.51	137.51	0.99
82.031250	-16.64	137.06	0.99
83.007813	-16.74	137.45	0.99
83.984375	-16.78	138.41	0.99
84.960938	-16.77	139.33	0.98
85.937500	-16.72	140.08	1.00
86.914063	-16.57	140.60	0.99
87.890625	-16.32	140.94	0.99
88.867188	-16.05	140.88	1.00
89.843750	-15.78	140.28	0.98
90.820313	-15.49	139.22	1.00
91.796875	-15.26	138.03	0.99
92.773438	-15.07	136.72	1.00
93.750000	-14.95	135.29	1.00
94.726563	-14.89	133.96	0.98
95.703125	-14.89	133.46	0.99
