	Dir_45g		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
10.742188	-41.52	-108.89	0.62
11.718750	-30.64	144.08	0.53
12.695313	-29.27	125.70	0.66
13.671875	-35.08	-8.69	0.11
14.648438	-39.13	51.22	0.60
15.625000	-33.01	17.06	0.36
16.601563	-29.44	-118.91	0.73
17.578125	-30.65	136.48	0.47
18.554688	-32.23	-155.05	0.80
19.531250	-33.21	114.59	0.69
20.507813	-29.99	150.78	0.44
21.484375	-25.17	144.30	0.52
22.460938	-26.31	146.05	0.68
23.437500	-24.81	130.67	0.24
24.414063	-24.18	151.60	0.74
25.390625	-26.16	-176.45	0.91
26.367188	-27.86	-174.84	0.82
27.343750	-28.95	-118.55	0.88
28.320313	-29.17	-144.31	0.88
29.296875	-29.67	-173.34	0.76
30.273438	-30.32	-155.25	0.47
31.250000	-29.81	141.16	0.52
32.226563	-28.80	128.60	0.70
33.203125	-27.44	127.01	0.68
34.179688	-26.54	159.33	0.63
35.156250	-26.60	176.04	0.85
36.132813	-26.03	178.56	0.94
37.109375	-25.84	173.78	0.90
38.085938	-25.46	175.28	0.90
39.062500	-25.25	174.19	0.87
40.039063	-25.42	176.12	0.93
41.015625	-26.07	175.10	0.98
41.992188	-26.30	169.31	0.98
42.968750	-26.62	169.79	0.94
43.945313	-26.67	164.55	0.84
44.921875	-26.05	164.64	0.74
45.898438	-24.62	168.02	0.91
46.875000	-24.20	169.30	0.98
47.851563	-24.07	168.26	0.99
48.828125	-23.90	167.37	0.99
49.804688	-23.69	165.55	1.00
50.781250	-23.32	163.42	0.98
51.757813	-22.90	161.02	0.97
52.734375	-22.64	160.19	0.97
53.710938	-22.12	157.81	0.95
54.687500	-21.92	157.78	0.94
55.664063	-22.02	157.87	0.81
56.640625	-21.70	156.84	0.77
57.617188	-21.80	157.02	0.90
58.593750	-21.54	156.62	0.94
59.570313	-21.34	156.51	0.97
60.546875	-21.13	156.07	0.98
61.523438	-20.74	156.48	0.98
62.500000	-20.07	156.38	0.99
63.476563	-19.18	155.23	0.98
64.453125	-18.56	154.75	0.97
65.429688	-18.09	156.37	0.97
66.406250	-17.62	157.09	0.91
67.382813	-17.13	155.66	0.95
68.359375	-16.72	155.66	0.96
69.335938	-16.49	155.85	0.99
70.312500	-16.40	154.43	1.00
71.289063	-16.40	153.19	0.99
72.265625	-16.47	150.96	0.97
73.242188	-16.43	149.27	0.97
74.218750	-16.27	147.66	0.99
75.195313	-16.11	146.87	1.00
76.171875	-15.96	146.29	1.00
77.148438	-15.76	145.61	0.98
78.125000	-15.47	145.08	0.94
79.101563	-15.39	144.68	0.98
80.078125	-15.41	143.13	0.97
81.054688	-15.53	143.73	0.94
82.031250	-15.64	143.14	1.00
83.007813	-15.54	143.14	1.00
83.984375	-15.48	143.17	0.99
84.960938	-15.39	143.51	0.99
85.937500	-15.20	143.76	1.00
86.914063	-15.04	143.76	1.00
87.890625	-14.87	143.92	1.00
88.867188	-14.72	143.97	1.00
89.843750	-14.57	143.76	0.93
90.820313	-14.40	143.33	0.99
91.796875	-14.27	142.97	1.00
92.773438	-14.20	142.67	0.99
93.750000	-14.15	142.13	1.00
94.726563	-14.13	141.61	0.96
95.703125	-14.14	140.92	0.98
96.679688	-14.12	140.14	0.99
97.656250	-14.05	139.60	0.99
98.632813	-13.89	139.20	0.99
99.609375	-13.69	139.15	0.98
100.585938	-13.49	139.33	0.99
101.562500	-13.29	139.53	0.98
102.539063	-13.10	139.55	0.94
103.515625	-12.88	139.74	0.98
104.492188	-12.61	139.83	0.99
105.468750	-12.36	140.03	0.98
106.445313	-12.12	139.81	0.93
107.421875	-11.94	137.95	0.89
108.398438	-11.80	136.33	0.99
109.375000	-11.65	134.94	0.99
110.351563	-11.54	133.86	0.99
111.328125	-11.43	133.12	1.00
112.304688	-11.32	132.57	1.00
113.281250	-11.22	132.33	1.00
114.257813	-11.11	132.29	1.00
115.234375	-11.04	132.52	0.99
116.210938	-11.00	132.85	0.99
117.187500	-10.93	133.11	1.00
118.164063	-10.86	133.46	1.00
119.140625	-10.79	134.02	0.98
120.117188	-10.71	134.42	0.94
121.093750	-10.61	134.48	0.96
122.070313	-10.50	134.35	0.99
123.046875	-10.41	134.10	0.99
124.023438	-10.35	134.01	1.00
125.000000	-10.30	133.83	0.99
125.976563	-10.25	133.65	0.99
126.953125	-10.18	133.37	0.96
127.929688	-10.05	133.00	0.97
128.906250	-9.90	132.32	0.97
129.882813	-9.74	131.66	0.96
130.859375	-9.59	131.10	0.99
131.835938	-9.43	130.68	1.00
132.812500	-9.26	130.30	0.99
133.789063	-9.08	129.98	0.99
134.765625	-8.89	129.70	0.99
135.742188	-8.69	129.56	0.99
136.718750	-8.50	129.40	0.99
137.695313	-8.31	129.34	0.99
138.671875	-8.07	128.76	0.99
140.625000	-7.79	127.79	0.99
142.578125	-7.51	126.34	0.98
144.531250	-7.26	124.85	0.98
146.484375	-6.97	124.03	0.98
148.437500	-6.72	122.35	0.98
150.390625	-6.56	120.36	0.99
152.343750	-6.48	118.95	0.97
154.296875	-6.36	117.92	0.98
156.250000	-6.16	116.80	0.98
158.203125	-5.95	115.05	0.99
160.156250	-5.80	113.00	0.99
162.109375	-5.72	110.64	0.99
164.062500	-5.64	108.65	0.98
166.015625	-5.60	106.84	0.97
167.968750	-5.63	105.41	0.98
169.921875	-5.66	104.99	0.99
171.875000	-5.67	104.21	0.99
173.828125	-5.74	103.29	1.00
175.781250	-5.83	102.84	1.00
177.734375	-5.93	102.66	1.00
179.687500	-6.08	102.81	0.99
181.640625	-6.28	103.45	0.97
183.593750	-6.47	105.15	0.96
185.546875	-6.53	107.10	0.96
187.500000	-6.43	109.08	0.97
189.453125	-6.16	110.88	0.97
191.406250	-5.82	112.28	0.98
193.359375	-5.46	113.15	0.99
195.312500	-5.08	113.63	0.99
197.265625	-4.65	113.93	0.98
199.218750	-4.16	114.02	0.97
201.171875	-3.69	113.00	0.98
203.125000	-3.26	111.02	0.97
205.078125	-2.89	108.33	0.94
207.031250	-2.66	105.83	0.97
208.984375	-2.50	103.90	0.99
210.937500	-2.38	102.30	0.99
212.890625	-2.23	100.76	1.00
214.843750	-2.10	99.28	0.99
216.796875	-1.97	97.72	0.99
218.750000	-1.88	96.43	0.99
220.703125	-1.75	95.37	0.99
222.656250	-1.63	94.36	0.99
224.609375	-1.49	93.43	0.99
226.562500	-1.35	92.39	0.99
228.515625	-1.19	91.32	0.99
230.468750	-1.05	90.24	1.00
232.421875	-0.93	89.05	0.99
234.375000	-0.84	87.75	0.99
236.328125	-0.78	86.45	0.99
238.281250	-0.75	85.41	0.98
240.234375	-0.72	84.40	0.98
242.187500	-0.70	83.19	0.99
244.140625	-0.68	81.98	0.99
246.093750	-0.67	80.78	0.98
248.046875	-0.69	79.67	0.99
250.000000	-0.72	78.78	1.00
251.953125	-0.76	78.03	0.99
253.906250	-0.79	77.51	0.99
255.859375	-0.79	77.16	0.99
257.812500	-0.76	77.03	0.97
259.765625	-0.66	76.95	0.99
261.718750	-0.53	76.83	0.99
263.671875	-0.39	76.53	0.98
265.625000	-0.24	76.18	0.99
267.578125	-0.09	75.80	0.96
269.531250	0.08	75.21	0.98
271.484375	0.24	74.18	0.98
273.437500	0.39	72.83	0.99
275.390625	0.48	71.23	0.99
277.343750	0.51	68.62	1.00
281.250000	0.44	65.91	0.98
285.156250	0.26	62.75	0.99
289.062500	0.00	60.25	0.99
292.968750	-0.29	58.17	0.99
296.875000	-0.65	56.84	0.99
300.781250	-1.01	56.13	0.98
304.687500	-1.38	56.88	0.98
308.593750	-1.58	58.17	0.99
312.500000	-1.73	59.65	0.99
316.406250	-1.84	61.14	0.99
320.312500	-1.94	62.53	0.99
324.218750	-1.97	64.13	0.99
328.125000	-1.87	65.97	0.96
332.031250	-1.61	67.72	0.98
335.937500	-1.27	68.84	0.99
339.843750	-0.88	69.49	0.98
343.750000	-0.39	69.81	0.98
347.656250	0.08	69.25	0.99
351.562500	0.42	67.56	0.98
355.468750	0.67	65.21	0.99
359.375000	0.79	62.68	0.99
363.281250	0.81	59.99	0.99
367.187500	0.75	57.94	0.99
371.093750	0.69	56.84	0.98
375.000000	0.68	56.24	0.99
378.906250	0.71	55.78	0.99
382.812500	0.77	55.36	0.99
386.718750	0.85	54.71	0.99
390.625000	0.92	53.85	1.00
394.531250	0.99	52.85	0.99
398.437500	1.07	51.81	1.00
402.343750	1.13	50.67	1.00
406.250000	1.16	49.39	1.00
410.156250	1.16	48.13	0.99
414.062500	1.13	46.90	0.99
417.968750	1.08	45.87	0.98
421.875000	1.03	44.94	0.99
425.781250	0.96	44.03	0.99
429.687500	0.87	43.22	0.99
433.593750	0.75	42.66	0.99
437.500000	0.65	42.41	0.99
441.406250	0.58	42.28	0.99
445.312500	0.54	42.14	0.99
449.218750	0.53	42.06	0.98
453.125000	0.55	41.76	0.99
457.031250	0.56	41.14	0.99
460.937500	0.53	40.21	0.99
464.843750	0.46	39.32	0.99
468.750000	0.38	38.79	0.99
472.656250	0.30	38.59	0.97
476.562500	0.25	38.50	0.96
480.468750	0.26	38.45	0.97
484.375000	0.29	38.17	0.98
488.281250	0.33	37.77	0.99
492.187500	0.37	37.36	0.99
496.093750	0.40	36.79	0.99
500.000000	0.41	36.29	0.99
503.906250	0.40	35.95	1.00
507.812500	0.38	35.76	0.99
511.718750	0.38	35.75	0.98
515.625000	0.42	35.93	0.96
519.531250	0.51	36.06	0.97
523.437500	0.61	35.81	0.99
527.343750	0.71	35.16	0.99
531.250000	0.78	34.12	0.99
535.156250	0.79	33.01	0.98
539.062500	0.74	32.00	0.99
542.968750	0.65	31.39	0.99
546.875000	0.55	31.11	0.99
550.781250	0.47	31.05	0.99
554.687500	0.42	31.13	0.99
560.000000	0.42	31.28	0.97
568.000000	0.43	30.97	0.96
576.000000	0.40	30.91	0.99
584.000000	0.39	31.51	0.98
592.000000	0.41	32.33	0.99
600.000000	0.46	32.91	0.99
608.000000	0.54	32.88	0.99
616.000000	0.62	32.23	0.99
624.000000	0.70	31.39	0.98
632.000000	0.76	30.77	0.98
640.000000	0.87	30.01	0.98
648.000000	0.94	29.21	0.99
656.000000	0.94	29.00	0.99
664.000000	0.90	29.77	0.94
672.000000	0.91	30.34	0.96
680.000000	0.98	30.99	0.99
688.000000	1.12	31.31	0.99
696.000000	1.30	31.10	0.99
704.000000	1.42	30.16	1.00
712.000000	1.49	29.05	1.00
720.000000	1.52	27.97	0.99
728.000000	1.55	26.83	0.99
736.000000	1.55	25.76	1.00
744.000000	1.53	24.93	1.00
752.000000	1.50	24.28	1.00
760.000000	1.48	23.79	0.99
768.000000	1.49	23.36	0.99
776.000000	1.48	22.68	0.99
784.000000	1.45	21.95	0.99
792.000000	1.39	21.24	0.99
800.000000	1.29	20.42	0.99
808.000000	1.18	19.93	0.99
816.000000	1.05	19.61	0.99
824.000000	0.92	19.65	1.00
832.000000	0.83	19.91	0.99
840.000000	0.79	20.38	0.97
848.000000	0.84	20.77	0.99
856.000000	0.94	20.93	0.99
864.000000	1.04	20.71	0.99
872.000000	1.12	20.19	0.99
880.000000	1.18	19.71	1.00
888.000000	1.22	19.22	0.99
896.000000	1.24	18.66	0.99
904.000000	1.23	18.22	0.99
912.000000	1.20	17.91	0.99
920.000000	1.17	17.65	0.98
928.000000	1.19	17.40	1.00
936.000000	1.22	17.04	1.00
944.000000	1.24	16.63	1.00
952.000000	1.23	16.32	1.00
960.000000	1.20	16.05	0.98
968.000000	1.15	15.82	0.98
976.000000	1.08	15.74	0.99
984.000000	1.03	15.79	0.99
992.000000	0.99	15.96	0.98
1000.000000	0.97	16.01	0.98
1008.000000	0.93	15.92	0.99
1016.000000	0.91	15.87	0.99
1024.000000	0.90	15.87	0.99
1032.000000	0.90	15.88	0.99
1040.000000	0.92	15.79	0.99
1048.000000	0.92	15.71	0.99
1056.000000	0.92	15.78	1.00
1064.000000	0.94	15.93	0.99
1072.000000	0.97	16.08	0.99
1080.000000	1.01	16.14	0.99
1088.000000	1.05	16.16	0.99
1096.000000	1.07	16.27	0.99
1104.000000	1.09	16.44	0.98
1112.000000	1.12	16.59	0.98
1120.000000	1.18	16.68	0.99
1128.000000	1.23	16.64	1.00
1136.000000	1.28	16.59	0.99
1144.000000	1.32	16.48	0.99
1152.000000	1.37	16.18	0.98
1160.000000	1.38	15.85	0.99
1168.000000	1.37	15.66	0.99
1176.000000	1.35	15.62	0.99
1184.000000	1.34	15.63	0.99
1192.000000	1.36	15.68	0.99
1200.000000	1.39	15.63	0.98
1208.000000	1.42	15.54	0.99
1216.000000	1.47	15.50	0.97
1224.000000	1.54	15.41	0.98
1232.000000	1.62	15.16	0.99
1240.000000	1.70	14.77	1.00
1248.000000	1.75	14.33	0.99
1256.000000	1.78	13.93	0.99
1264.000000	1.81	13.57	0.99
1272.000000	1.85	13.24	0.99
1280.000000	1.89	12.85	0.99
1288.000000	1.94	12.36	0.98
1296.000000	1.96	11.82	0.96
1304.000000	1.98	11.38	0.95
1312.000000	1.99	10.96	0.98
1320.000000	1.98	10.57	0.98
1328.000000	1.97	10.23	0.99
1336.000000	1.96	9.96	0.99
1344.000000	1.96	9.80	0.97
1352.000000	1.99	9.60	0.99
1360.000000	2.01	9.28	0.99
1368.000000	2.03	8.97	0.98
1376.000000	2.05	8.73	0.99
1384.000000	2.08	8.55	0.98
1392.000000	2.11	8.37	0.99
1400.000000	2.14	8.24	0.98
1408.000000	2.20	8.10	0.98
1416.000000	2.26	7.85	0.98
1424.000000	2.33	7.48	0.99
1432.000000	2.37	7.00	0.99
1440.000000	2.41	6.53	0.99
1448.000000	2.44	6.06	0.99
1456.000000	2.45	5.53	0.99
1464.000000	2.45	4.89	0.98
1472.000000	2.43	4.35	0.98
1480.000000	2.41	3.86	0.99
1488.000000	2.39	3.38	0.98
1496.000000	2.38	2.83	0.99
1504.000000	2.36	2.27	0.99
1512.000000	2.33	1.67	1.00
1520.000000	2.28	1.07	0.99
1528.000000	2.23	0.54	0.99
1536.000000	2.17	0.14	0.99
1544.000000	2.12	-0.17	0.99
1552.000000	2.07	-0.42	1.00
1560.000000	2.02	-0.64	0.99
1568.000000	1.98	-0.85	0.99
1576.000000	1.94	-1.08	0.99
1584.000000	1.90	-1.29	0.99
1592.000000	1.86	-1.46	0.97
1600.000000	1.83	-1.55	0.95
1608.000000	1.81	-1.66	0.97
1616.000000	1.79	-1.85	0.98
1624.000000	1.76	-2.00	0.98
1632.000000	1.74	-2.07	0.99
1640.000000	1.74	-2.14	0.99
1648.000000	1.75	-2.21	0.99
1656.000000	1.76	-2.31	0.99
1664.000000	1.78	-2.46	0.99
1672.000000	1.80	-2.67	0.99
1680.000000	1.81	-2.93	0.98
1688.000000	1.81	-3.07	0.98
1696.000000	1.82	-3.19	0.96
1704.000000	1.85	-3.39	0.97
1712.000000	1.87	-3.68	0.98
1720.000000	1.87	-4.16	0.99
1728.000000	1.86	-4.61	1.00
1736.000000	1.85	-5.05	0.99
1744.000000	1.84	-5.43	0.97
1752.000000	1.82	-5.84	0.98
1760.000000	1.81	-6.32	0.98
1768.000000	1.78	-6.87	0.97
1776.000000	1.73	-7.42	0.99
1784.000000	1.69	-7.91	0.99
1792.000000	1.65	-8.40	1.00
1800.000000	1.60	-8.91	0.99
1808.000000	1.55	-9.40	0.97
1816.000000	1.49	-9.82	0.97
1824.000000	1.44	-10.29	0.97
1832.000000	1.37	-10.77	0.99
1840.000000	1.31	-11.20	0.99
1848.000000	1.24	-11.59	0.99
1856.000000	1.17	-12.03	0.99
1866.665649	1.10	-12.97	0.98
1893.332275	0.99	-14.04	0.99
1919.998901	0.81	-15.15	0.99
1946.665527	0.65	-15.92	0.98
1973.332153	0.45	-16.12	0.99
1999.998779	0.29	-15.61	0.97
2026.665405	0.21	-14.95	0.98
2053.332031	0.15	-14.79	0.99
2079.998779	0.12	-14.47	0.98
2106.665527	0.15	-14.34	0.99
2133.332275	0.15	-14.41	0.99
2159.999023	0.12	-14.34	0.99
2186.665771	0.06	-14.15	0.98
2213.332520	-0.03	-13.87	0.98
2239.999268	-0.11	-13.92	0.98
2266.666016	-0.15	-14.13	0.99
2293.332764	-0.18	-14.51	0.99
2319.999512	-0.20	-15.04	0.99
2346.666260	-0.30	-15.69	0.99
2373.333008	-0.43	-16.00	0.97
2399.999756	-0.53	-16.15	0.98
2426.666504	-0.58	-16.17	0.98
2453.333252	-0.61	-16.33	0.99
2480.000000	-0.64	-16.46	0.98
2506.666748	-0.64	-16.92	0.99
2533.333496	-0.70	-17.39	0.99
2560.000244	-0.80	-17.93	0.98
2586.666992	-0.87	-18.39	0.98
2613.333740	-0.95	-18.74	0.99
2640.000488	-1.04	-18.83	0.98
2666.667236	-1.13	-19.29	0.98
2693.333984	-1.22	-19.63	0.99
2720.000732	-1.30	-19.92	0.98
2746.667480	-1.41	-20.17	0.97
2773.334229	-1.51	-20.10	0.95
2800.000977	-1.59	-20.12	0.96
2826.667725	-1.65	-20.25	0.96
2853.334473	-1.71	-20.28	0.96
2880.001221	-1.74	-20.35	0.97
2906.667969	-1.77	-20.65	0.98
2933.334717	-1.83	-20.99	0.99
2960.001465	-1.89	-21.46	0.96
2986.668213	-1.97	-21.92	0.96
3013.334961	-2.07	-22.47	0.97
3040.001709	-2.15	-23.21	0.97
3066.668457	-2.23	-23.99	0.95
3093.335205	-2.30	-24.72	0.95
3120.001953	-2.38	-25.47	0.97
3146.668701	-2.51	-26.23	0.98
3173.335449	-2.64	-26.85	0.97
3200.002197	-2.78	-27.35	0.97
3226.668945	-2.93	-27.67	0.97
3253.335693	-3.07	-27.90	0.95
3280.002441	-3.19	-27.97	0.95
3306.669189	-3.30	-28.02	0.97
3333.335938	-3.42	-28.09	0.97
3360.002686	-3.53	-28.11	0.98
3386.669434	-3.65	-28.15	0.99
3413.336182	-3.79	-28.17	0.96
3440.002930	-3.93	-28.05	0.94
3466.669678	-4.04	-27.81	0.95
3493.336426	-4.13	-27.60	0.96
